returns(rp=0.005000,variance(rp=0.005000,returns(rp=0.010000,variance(rp=0.010000,returns(rp=0.015000,variance(rp=0.015000,returns(rp=0.020000,variance(rp=0.020000,returns(rp=0.025000,variance(rp=0.025000,returns(rp=0.030000,variance(rp=0.030000,returns(rp=0.035000,variance(rp=0.035000,returns(rp=0.040000,variance(rp=0.040000,returns(rp=0.045000,variance(rp=0.045000,returns(rp=0.050000,variance(rp=0.050000,returns(rp=0.055000,variance(rp=0.055000,returns(rp=0.060000,variance(rp=0.060000,returns(rp=0.065000,variance(rp=0.065000,returns(rp=0.070000,variance(rp=0.070000,returns(rp=0.075000,variance(rp=0.075000,returns(rp=0.080000,variance(rp=0.080000,returns(rp=0.085000,variance(rp=0.085000,returns(rp=0.090000,variance(rp=0.090000,returns(rp=0.095000,variance(rp=0.095000,returns(rp=0.100000,variance(rp=0.100000
0.0142649,-0.00020867,0.0235239,-3.56686e-05,0.032783,0.000307892,0.0420421,0.000822013,0.0513011,0.00150669,0.0605602,0.00236193,0.0698193,0.00338773,0.0790783,0.0045841,0.0883374,0.00595102,0.0975965,0.0074885,0.106856,0.00919654,0.116115,0.0110751,0.125374,0.0131243,0.134633,0.015344,0.143892,0.0177343,0.153151,0.0202951,0.16241,0.0230265,0.171669,0.0259285,0.180928,0.029001,0.190187,0.0322441,
-0.00704066,0.000793302,-0.00587515,0.00110437,-0.00470964,0.00160306,-0.00354413,0.00228938,-0.00237862,0.00316331,-0.00121311,0.00422487,-4.7601e-05,0.00547404,0.00111791,0.00691084,0.00228342,0.00853526,0.00344893,0.0103473,0.00461444,0.012347,0.00577994,0.0145342,0.00694545,0.0169091,0.00811096,0.0194717,0.00927647,0.0222218,0.010442,0.0251596,0.0116075,0.028285,0.012773,0.031598,0.0139385,0.0350986,0.015104,0.0387869,
0.00669452,1.19349e-06,-0.00157408,-0.00021923,-0.00984267,-0.000542426,-0.0181113,-0.000968395,-0.0263799,-0.00149714,-0.0346485,-0.00212865,-0.042917,-0.00286294,-0.0511856,-0.0037,-0.0594542,-0.00463983,-0.0677228,-0.00568244,-0.0759914,-0.00682781,-0.08426,-0.00807596,-0.0925286,-0.00942689,-0.100797,-0.0108806,-0.109066,-0.0124371,-0.117334,-0.0140963,-0.125603,-0.0158583,-0.133872,-0.0177231,-0.14214,-0.0196907,-0.150409,-0.021761,
0.00320414,0.000606969,0.00859147,0.00107483,0.0139788,0.00168484,0.0193661,0.00243699,0.0247535,0.0033313,0.0301408,0.00436775,0.0355281,0.00554636,0.0409155,0.00686711,0.0463028,0.00833001,0.0516901,0.00993506,0.0570775,0.0116823,0.0624648,0.0135716,0.0678521,0.0156031,0.0732394,0.0177768,0.0786268,0.0200925,0.0840141,0.0225505,0.0894014,0.0251506,0.0947888,0.0278928,0.100176,0.0307772,0.105563,0.0338038,
0.00922158,0.00110333,0.0148386,0.00170582,0.0204557,0.00255718,0.0260728,0.00365742,0.0316898,0.00500652,0.0373069,0.00660449,0.0429239,0.00845133,0.048541,0.010547,0.054158,0.0128916,0.0597751,0.0154851,0.0653922,0.0183274,0.0710092,0.0214186,0.0766263,0.0247586,0.0822433,0.0283476,0.0878604,0.0321853,0.0934775,0.036272,0.0990945,0.0406076,0.104712,0.045192,0.110329,0.0500252,0.115946,0.0551074,
0.0127427,0.002787,0.0133394,0.00427461,0.0139362,0.00645148,0.014533,0.00931763,0.0151297,0.012873,0.0157265,0.0171177,0.0163233,0.0220517,0.01692,0.0276749,0.0175168,0.0339874,0.0181136,0.0409891,0.0187103,0.0486801,0.0193071,0.0570604,0.0199039,0.0661299,0.0205006,0.0758888,0.0210974,0.0863368,0.0216941,0.0974742,0.0222909,0.109301,0.0228877,0.121817,0.0234844,0.135022,0.0240812,0.148916,
0.00684012,-0.000585621,0.00791865,-0.000922675,0.00899718,-0.00133037,0.0100757,-0.00180869,0.0111542,-0.00235766,0.0122328,-0.00297726,0.0133113,-0.00366749,0.0143898,-0.00442836,0.0154684,-0.00525987,0.0165469,-0.00616202,0.0176254,-0.0071348,0.018704,-0.00817822,0.0197825,-0.00929227,0.020861,-0.010477,0.0219396,-0.0117323,0.0230181,-0.0130583,0.0240966,-0.0144549,0.0251752,-0.0159221,0.0262537,-0.01746,0.0273322,-0.0190685,
0.00360371,0.00126514,-0.000706619,0.00227115,-0.00501695,0.00399895,-0.00932728,0.00644852,-0.0136376,0.00961988,-0.0179479,0.013513,-0.0222583,0.018128,-0.0265686,0.0234647,-0.0308789,0.0295232,-0.0351893,0.0363035,-0.0394996,0.0438055,-0.0438099,0.0520294,-0.0481203,0.060975,-0.0524306,0.0706424,-0.0567409,0.0810316,-0.0610512,0.0921426,-0.0653616,0.103975,-0.0696719,0.11653,-0.0739822,0.129806,-0.0782926,0.143804,
-0.00370634,-0.00127302,-0.0191361,-0.00150695,-0.0345658,-0.00164649,-0.0499956,-0.00169162,-0.0654253,-0.00164235,-0.0808551,-0.00149868,-0.0962849,-0.0012606,-0.111715,-0.000928127,-0.127144,-0.000501251,-0.142574,2.00262e-05,-0.158004,0.000635705,-0.173434,0.00134579,-0.188863,0.00215027,-0.204293,0.00304915,-0.219723,0.00404243,-0.235153,0.00513012,-0.250582,0.00631221,-0.266012,0.00758869,-0.281442,0.00895958,-0.296872,0.0104249,
-0.00448874,0.0102844,-0.0046214,0.0168726,-0.00475406,0.0256642,-0.00488673,0.0366593,-0.00501939,0.0498578,-0.00515206,0.0652598,-0.00528472,0.0828653,-0.00541739,0.102674,-0.00555005,0.124687,-0.00568272,0.148902,-0.00581538,0.175322,-0.00594804,0.203944,-0.00608071,0.234771,-0.00621337,0.2678,-0.00634604,0.303033,-0.0064787,0.34047,-0.00661137,0.38011,-0.00674403,0.421953,-0.00687669,0.466,-0.00700936,0.512251,
